"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
220205,976019361,"Southwest Airlines Co.","WN"
209169,804455038,"Delta Air Lines Inc.","DL"
172648,587259684,"United Air Lines Inc.","UA"
168648,0,"Federal Express Corporation","FX"
128852,2204996,"Hageland Aviation Service","H6"
125758,434408336,"US Airways Inc.","US"
120063,804412605,"American Airlines Inc.","AA"
113597,320290429,"Continental Air Lines Inc.","CO"
106752,196166733,"SkyWest Airlines Inc.","OO"
101497,153677539,"American Eagle Airlines Inc.","MQ"
89771,0,"United Parcel Service","5X"
88915,147567654,"ExpressJet Airlines Inc.","EV"
84619,248313787,"Northwest Airlines Inc.","NW"
74403,114180965,"ExpressJet Airlines Inc. (1)","XE"
68500,62486684,"Comair Inc.","OH"
58734,94670513,"Endeavor Air Inc.","9E"
58271,862597,"Bering Air Inc.","8E"
54606,157398117,"Alaska Airlines Inc.","AS"
52746,1178218,"Grant Aviation","GV"
50487,93531804,"Mesa Airlines Inc.","YV"
48262,55436060,"Chautauqua Airlines Inc.","RP"
43934,40827977,"Allegiant Air","G4"
43639,2665,"Arctic Transportation","7S"
43147,2362965,"Peninsula Airways Inc.","KS"
41686,61571831,"Republic Airlines","YX"
40238,195699793,"AirTran Airways Corporation","FL"
34825,202058689,"JetBlue Airways","B6"
31893,52218991,"Air Wisconsin Airlines Corp","ZW"
30997,36569662,"Mesaba Airlines","XJ"
30216,398747,"USA Jet Airlines Inc.","U7"
29670,42591053,"PSA Airlines Inc.",16
26636,49753829,"Air Canada","AC"
26092,346265,"Wright Air Service","8V"
25653,507066,"Yute Air Aka Flight Alaska","4Y"
25229,2234710,"Miami Air International","GL"
24237,27580540,"Piedmont Airlines",17
23918,38657744,"Shuttle America Corp.","S5"
23707,0,"ABX Air, Inc.","ABX"
23299,13701594,"Sun Country Airlines d/b/a MN Airlines","SY"
23033,86023571,"Frontier Airlines Inc.","F9"
22328,10462,"Arctic Circle Air Service","5F"
21650,918723,"Frontier Flying Service","2F"
20864,62576361,"Horizon Air","QX"
19635,433633,"Warbelow","4W"
18419,19444,"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V"
18315,64937462,"Spirit Air Lines","NK"
18205,965245,"Kenmore Air Harbor","KAH"
17614,5054009,"Great Lakes Airlines","ZK"
16383,15676212,"Jazz Aviation LP","QK"
16017,60077430,"America West Airlines Inc.","HP"
15526,124883,"Atlas Air Inc.","5Y"
15459,148937,"Iliamna Air Taxi","V8"
15002,25016908,"Trans States Airlines","AX"
14824,3048346,"Sky King Inc.","SLQ"
14623,19329757,"Compass Airlines","CP"
14345,18136606,"Colgan Air","9L"
12908,22095,"Alaska Central Express","KO"
12837,0,"Empire Airlines Inc.","EM"
12461,0,"Gulf And Caribbean Cargo","GFQ"
12297,162196,"Island Air Service","2O"
12105,18296584,"Compania Mexicana De Aviaci","MX"
11248,18392416,"GoJet Airlines, LLC d/b/a United Express","G7"
10813,42744819,"Lufthansa German Airlines","LH"
10735,1115640,"Pace Airlines","PCQ"
10678,5755493,"Silver Airways","3M"
10478,21046343,"Korean Air Lines Co. Ltd.","KE"
10183,96246,"Servant Air Inc.","8D"
9889,2664246,"Ryan International Airlines","RD"
9727,2065997,"Casino Express","XP"
9696,3416175,"Era Aviation","7H"
9266,15629998,"Aeromexico","AM"
9127,41364,"Inland Aviation Services","7N"
9061,18728436,"Westjet","WS"
9058,12680,"Air Transport International","8C"
8780,143301,"Venture Travel LLC d/b/a Taquan Air Service","K3"
8691,9363336,"USA 3000 Airlines","U5"
8489,65061,"Ameristar Air Cargo","AMQ"
8172,289571,"PM Air, LLC","Z3"
8158,19995204,"Executive Airlines","OW"
7992,0,"Northern Air Cargo Inc.","NC"
7791,9,"Capital Cargo International","PT"
7420,95572,"Tradewind Aviation","04Q"
7353,611297,"SeaPort Airlines, Inc. d/b/a Wings of Alaska","K5"
7345,6971655,"Commutair Aka Champlain Enterprises, Inc.","C5"
7281,15390927,"Midwest Airline, Inc.","YX (1)"
7252,51833234,"British Airways Plc","BA"
7223,1888803,"Vision Airlines","0JQ"
7114,25455,"Avjet Corporation","0WQ"
7043,239177,"Swift Air, LLC","09Q"
6941,0,"Astar USA, LLC","ER"
6937,6071729,"Cape Air","9K"
6933,22674,"Tanana Air Service","4E"
6862,10381552,"Taca International Airlines","TA"
6777,8606753,"Freedom Airlines d/b/a HP Expr","F8"
6770,31396845,"Compagnie Natl Air France","AF"
6481,2621966,"Champion Air","MG"
5935,69502845,"Hawaiian Airlines Inc.","HA"
5870,0,"Kitty Hawk Aircargo","KR"
5299,11730768,"ATA Airlines d/b/a ATA","TZ"
5297,0,"Kalitta Air LLC","KAQ"
5043,0,"Amerijet International","M6"
4910,5548034,"Lan-Chile Airlines","LA"
4734,26651913,"Virgin America","VX"
4641,9037775,"Eva Airways Corporation","BR"
4560,1266449,"Air Midwest Inc.","ZV"
4514,0,"Kalitta Charters II","KLQ"
4488,1513059,"Falcon Air Express","FCQ"
4470,127853,"Pacific Airways, Inc.","3F"
4426,10233767,"China Airlines Ltd.","CI"
4376,11846690,"Japan Air Lines Co. Ltd.","JL"
4339,0,"Lynden Air Cargo Airlines","L2"
4259,28241912,"Virgin Atlantic Airways","VS"
4166,12679415,"Aloha Air Cargo","KH"
4164,110689,"Spernak Airways Inc.","SNK"
