"record_count","total_passengers","unique_carrier_name","unique_carrier_code"
544348,2204211408,"Delta Air Lines Inc.","DL"
515610,1278916482,"US Airways Inc.","US"
485277,1696480280,"United Air Lines Inc.","UA"
432579,1907578012,"Southwest Airlines Co.","WN"
392748,2068361835,"American Airlines Inc.","AA"
381182,992478841,"Northwest Airlines Inc.","NW"
362939,928086703,"Continental Air Lines Inc.","CO"
230116,0,"Federal Express Corporation","FX"
201311,2805506,"Hageland Aviation Service","H6"
169751,266033253,"American Eagle Airlines Inc.","MQ"
143816,516859,"United Parcel Service","5X"
134902,189996328,"ExpressJet Airlines Inc. (1)","XE"
128120,212895309,"ExpressJet Airlines Inc.","EV"
117309,222579773,"SkyWest Airlines Inc.","OO"
115605,339422008,"Alaska Airlines Inc.","AS"
106610,280154577,"Trans World Airways LLC","TW"
96542,105357078,"Comair Inc.","OH"
93138,338371926,"America West Airlines Inc.","HP"
89737,1495870,"Grant Aviation","GV"
77649,78732035,"Mesaba Airlines","XJ"
76539,2959676,"Peninsula Airways Inc.","KS"
75302,1138908,"Bering Air Inc.","8E"
74584,118831031,"Mesa Airlines Inc.","YV"
65432,106471605,"Endeavor Air Inc.","9E"
61489,2684,"Arctic Transportation","7S"
59533,125541489,"Horizon Air","QX"
57272,67197388,"Chautauqua Airlines Inc.","RP"
56974,412751,"USA Jet Airlines Inc.","U7"
56279,101378548,"Air Wisconsin Airlines Corp","ZW"
56224,113471084,"Air Canada","AC"
53677,260793578,"AirTran Airways Corporation","FL"
48102,42396020,"Allegiant Air","G4"
45679,88184019,"ATA Airlines d/b/a ATA","TZ"
41686,61571831,"Republic Airlines","YX"
41286,4909453,"Miami Air International","GL"
41154,21446,"Arctic Circle Air Service","5F"
40229,52784245,"Trans States Airlines","AX"
37298,232859442,"JetBlue Airways","B6"
37136,0,"ABX Air, Inc.","ABX"
35306,26164268,"Sun Country Airlines d/b/a MN Airlines","SY"
34548,46315855,"PSA Airlines Inc.",16
34217,115500581,"Frontier Airlines Inc.","F9"
33292,433764,"Wright Air Service","8V"
33267,46755,"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V"
32719,532937,"Yute Air Aka Flight Alaska","4Y"
31390,54740523,"Compania Mexicana De Aviaci","MX"
30380,34297831,"Piedmont Airlines",17
30193,5042013,"Casino Express","XP"
29143,1295376,"Frontier Flying Service","2F"
27183,85257231,"Lufthansa German Airlines","LH"
26205,40756533,"Midwest Airline, Inc.","YX (1)"
25981,90682251,"Spirit Air Lines","NK"
25290,568151,"Warbelow","4W"
25000,39793477,"Shuttle America Corp.","S5"
24656,128679979,"British Airways Plc","BA"
24641,46523852,"Korean Air Lines Co. Ltd.","KE"
23946,8407679,"Ryan International Airlines","RD"
