"record_count","total_passengers","origin_airport_id","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR"
251040,777405701,13930,"Chicago, IL","IL"
209207,858783454,10397,"Atlanta, GA","GA"
187726,370552743,13303,"Miami, FL","FL"
168091,676994517,12892,"Los Angeles, CA","CA"
156710,643115404,11298,"Dallas/Fort Worth, TX","TX"
153135,459792106,11292,"Denver, CO","CO"
150493,423051380,12478,"New York, NY","NY"
150399,356133246,11433,"Detroit, MI","MI"
149120,343937781,13487,"Minneapolis, MN","MN"
142778,361744192,11618,"Newark, NJ","NJ"
142608,369006102,12266,"Houston, TX","TX"
128431,281201656,14100,"Philadelphia, PA","PA"
127968,307129427,11057,"Charlotte, NC","NC"
107037,419130618,14107,"Phoenix, AZ","AZ"
106227,108291666,13244,"Memphis, TN","TN"
100855,328742413,13204,"Orlando, FL","FL"
100291,415454828,14771,"San Francisco, CA","CA"
96190,247718024,15016,"St. Louis, MO","MO"
94481,290579602,10721,"Boston, MA","MA"
94260,387670442,12889,"Las Vegas, NV","NV"
88073,169118325,14122,"Pittsburgh, PA","PA"
87038,53599169,10299,"Anchorage, AK","AK"
85234,165999309,11193,"Cincinnati, OH","KY"
83681,316196612,14747,"Seattle, WA","WA"
82099,197107118,12264,"Washington, DC","VA"
75635,267551372,12953,"New York, NY","NY"
75091,120377611,11042,"Cleveland, OH","OH"
74433,214190405,14869,"Salt Lake City, UT","UT"
70826,2148893,10551,"Bethel, AK","AK"
70685,205360019,10821,"Baltimore, MD","MD"
63659,188276838,11697,"Fort Lauderdale, FL","FL"
63628,85288848,12339,"Indianapolis, IN","IN"
63092,184121590,11278,"Washington, DC","VA"
58215,176302295,15304,"Tampa, FL","FL"
57957,40145439,14730,"Louisville, KY","KY"
52932,89669340,16271,"Toronto, Canada","ON"
52611,127326267,13198,"Kansas City, MO","MO"
51385,145293500,14057,"Portland, OR","OR"
48070,109476148,10693,"Nashville, TN","TN"
45984,102335715,14492,"Raleigh/Durham, NC","NC"
45505,244147874,12173,"Honolulu, HI","HI"
44229,110964061,14843,"San Juan, PR","PR"
43627,72764986,13342,"Milwaukee, WI","WI"
41548,103445810,13495,"New Orleans, LA","LA"
41388,9524128,11630,"Fairbanks, AK","AK"
41328,181294368,14679,"San Diego, CA","CA"
39318,167644264,13232,"Chicago, IL","IL"
38260,72161826,11066,"Columbus, OH","OH"
37447,125502988,13796,"Oakland, CA","CA"
36114,66859949,10529,"Hartford, CT","CT"
33786,85805196,14683,"San Antonio, TX","TX"
30708,48209506,11032,"Cancun, Mexico",""
30026,76919539,10140,"Albuquerque, NM","NM"
29667,1422413,13970,"Kotzebue, AK","AK"
29655,114084845,14831,"San Jose, CA","CA"
28970,1408744,13873,"Nome, AK","AK"
27968,72589152,13891,"Ontario, CA","CA"
27728,112561222,12191,"Houston, TX","TX"
27412,56057650,12451,"Jacksonville, FL","FL"
26601,47911370,10792,"Buffalo, NY","NY"
26569,49281060,13252,"Mexico City, Mexico",""
26339,66392414,14635,"Fort Myers, FL","FL"
24795,68428195,14027,"West Palm Beach/Palm Beach, FL","FL"
24216,93621855,14893,"Sacramento, CA","CA"
23511,58909037,10423,"Austin, TX","TX"
23471,42788149,13871,"Omaha, NE","NE"
23333,42984570,13851,"Oklahoma City, OK","OK"
23196,45456184,11540,"El Paso, TX","TX"
23054,36753897,13931,"Norfolk, VA","VA"
22730,31009372,14524,"Richmond, VA","VA"
22707,27656561,11995,"Greensboro/High Point, NC","NC"
21875,28596364,11267,"Dayton, OH","OH"
21275,46378755,14307,"Providence, RI","RI"
21012,104576610,13744,"Tokyo, Japan",""
20392,58557805,14570,"Reno, NV","NV"
20290,28915109,14576,"Rochester, NY","NY"
20251,24047100,15096,"Syracuse, NY","NY"
19816,38726097,15370,"Tulsa, OK","OK"
19692,42470332,16229,"Vancouver, Canada","BC"
19598,36574605,10599,"Birmingham, AL","AL"
19420,30444426,16217,"Montreal, Canada","QC"
18946,116864993,12972,"London, United Kingdom",""
18521,34354166,11884,"Spokane, WA","WA"
18078,27539290,10257,"Albany, NY","NY"
17845,66090955,11760,"Frankfurt, Germany",""
17426,91938910,14908,"Santa Ana, CA","CA"
17192,89792071,11259,"Dallas, TX","TX"
16840,46461057,10292,"Amsterdam, Netherlands",""
16778,619186,11336,"Dillingham, AK","AK"
16593,7875743,12523,"Juneau, AK","AK"
16589,916639,10245,"King Salmon, AK","AK"
16578,19476381,11423,"Des Moines, IA","IA"
16489,28161947,12992,"Little Rock, AR","AR"
16354,253775,10304,"Aniak, AK","AK"
16129,31541130,10713,"Boise, ID","ID"
16121,41259346,15376,"Tucson, AZ","AZ"
15421,31132,16091,"Detroit, MI","MI"
15173,20927116,11986,"Grand Rapids, MI","MI"
15064,34815957,12016,"Guam, TT","TT"
14066,16535925,15412,"Knoxville, TN","TN"
14009,54921357,10920,"Paris, France",""
13949,27542585,13296,"Manchester, NH","NH"
13514,21438947,13605,"Nassau, The Bahamas",""
13470,56727226,10800,"Burbank, CA","CA"
13289,20747275,10994,"Charleston, SC","SC"
13221,12334972,10868,"Columbia, SC","SC"
13145,15728082,11996,"Greer, SC","SC"
12790,14011363,13230,"Harrisburg, PA","PA"
12695,166100,15478,"Unalakleet, AK","AK"
12628,21202499,13180,"Montego Bay, Jamaica",""
12614,1694803,13061,"Laredo, TX","TX"
12585,154135,12807,"St. Mary's, AK","AK"
12580,63877852,13830,"Kahului, HI","HI"
12412,15592476,12278,"Wichita, KS","KS"
12399,15782449,13485,"Madison, WI","WI"
12296,19294688,11874,"Guadalajara, Mexico",""
11980,20454149,16257,"Calgary, Canada","AB"
11837,25179189,11109,"Colorado Springs, CO","CO"
10842,34,12324,"Wilmington, OH","OH"
10832,134801,11550,"Emmonak, AK","AK"
10728,14096435,14312,"Puerto Vallarta, Mexico",""
10332,7458188,14814,"Shreveport, LA","LA"
10313,4811143,15295,"Toledo, OH","OH"
10248,20437761,14739,"Santo Domingo, Dominican Republic",""
10233,15063024,14321,"Portland, ME","ME"
10116,9707843,10135,"Allentown/Bethlehem/Easton, PA","PA"
10110,44183488,12966,"London, United Kingdom",""
10031,12252080,14761,"Sanford, FL","FL"
10008,12008620,12217,"Huntsville, AL","AL"
9998,213953,11844,"Galena, AK","AK"
9936,1221803,10170,"Kodiak, AK","AK"
9646,10245716,11003,"Cedar Rapids/Iowa City, IA","IA"
9642,9046623,10158,"Atlantic City, NJ","NJ"
9532,1485018,14512,"Rockford, IL","IL"
9506,17772410,14685,"Savannah, GA","GA"
9482,15293403,12448,"Jackson/Vicksburg, MS","MS"
9121,10781450,12945,"Lexington, KY","KY"
9058,14049099,12896,"Lubbock, TX","TX"
9010,6602694,11823,"Fort Wayne, IN","IN"
9010,13661633,13577,"Myrtle Beach, SC","SC"
8943,10795811,10711,"Bogota, Colombia",""
8810,7012882,10581,"Bangor, ME","ME"
8746,11901533,12197,"White Plains, NY","NY"
8626,17534021,14986,"Sarasota/Bradenton, FL","FL"
8576,11511387,10411,"Aruba, Aruba",""
8441,14728032,14832,"San Jose del Cabo, Mexico",""
8411,485419,15741,"Ketchikan, AK","AK"
8401,82034,12321,"Iliamna, AK","AK"
8396,25619633,16440,"Austin, TX","TX"
8374,90378,13434,"Mountain Village, AK","AK"
8254,1414425,10590,"Bullhead City, AZ","AZ"
8213,7998122,11775,"Sioux Falls, SD","SD"
8167,13951966,14838,"San Jose, Costa Rica",""
8135,8697198,10620,"Billings, MT","MT"
8132,910771,10754,"Barrow, AK","AK"
7995,10916010,12010,"Guatemala City, Guatemala",""
7950,98515,12195,"Hooper Bay, AK","AK"
7662,92541,13894,"Toksook, AK","AK"
7533,10522985,14677,"San Salvador, El Salvador",""
7476,90732,12853,"Quinhagak, AK","AK"
7471,76583,12769,"Kotlik, AK","AK"
7450,11017417,10785,"Burlington, VT","VT"
7421,8590110,14696,"South Bend, IN","IN"
7417,4574793,12819,"Ketchikan, AK","AK"
7357,12076774,13158,"Midland/Odessa, TX","TX"
7342,20888326,12277,"Seoul, South Korea",""
7256,86707,12779,"Kipnuk, AK","AK"
7189,30021816,12758,"Kona, HI","HI"
7178,8029792,14112,"St. Petersburg, FL","FL"
7132,66018,10416,"Alakanuk, AK","AK"
7123,75330,15862,"Tuntutuliak, AK","AK"
7119,7986883,11977,"Green Bay, WI","WI"
7113,7647803,14293,"Punta Cana, Dominican Republic",""
7097,13167534,14262,"Palm Springs, CA","CA"
7058,12754262,10911,"Caracas, Venezuela",""
7039,14383203,14193,"Pensacola, FL","FL"
7017,46989,13369,"Marshall, AK","AK"
6986,10406272,12206,"Harlingen/San Benito, TX","TX"
6951,6128600,14574,"Roanoke, VA","VA"
6892,79052,14718,"Scammon Bay, AK","AK"
6891,7719271,13514,"Monterrey, Mexico",""
6883,108955,15554,"Chevak, AK","AK"
6786,81767,15785,"Selawik, AK","AK"
6765,99996,13942,"Noorvik, AK","AK"
6765,63572,12851,"Kwigillingok, AK","AK"
6674,10750800,14286,"Panama City, Panama",""
6672,69110,12708,"Kongiganak, AK","AK"
6664,1453893,11525,"Elko, NV","NV"
6650,7129654,14783,"Springfield, MO","MO"
6636,10026222,10781,"Baton Rouge, LA","LA"
6569,9047932,13367,"Moline, IL","IL"
6567,9931114,11638,"Fresno, CA","CA"
6550,66318,11227,"Chefornak, AK","AK"
6396,8757270,15249,"Tallahassee, FL","FL"
6359,17459170,12391,"Islip, NY","NY"
6306,68752,14895,"St. Michael, AK","AK"
6205,47575,14627,"Russian Mission, AK","AK"
6201,56163,12704,"Koyuk, AK","AK"
6173,20036133,12699,"Osaka, Japan",""
6132,10834350,10874,"Akron, OH","OH"
6130,78943,12268,"Kiana, AK","AK"
6126,5162952,14108,"Peoria, IL","IL"
6125,63759,11535,"Elim, AK","AK"
6103,65562,15721,"Stebbins, AK","AK"
6076,12887920,15024,"Charlotte Amalie, VI","VI"
6022,22294631,15306,"Taipei, Taiwan",""
5995,15404246,14955,"Saipan, TT","TT"
5940,5519905,12884,"Lansing, MI","MI"
5928,11138485,12986,"Lima, Peru",""
5876,7157658,15919,"Fayetteville, AR","AR"
5831,312695,10559,"Seattle, WA","WA"
5826,61782,12831,"Kasigluk, AK","AK"
5817,69536,11492,"Eek, AK","AK"
5802,318592,10917,"Cold Bay, AK","AK"
5781,20796404,11988,"Sao Paulo, Brazil",""
5776,5834476,16149,"Ottawa, Canada","ON"
