"SYS_FIELD_NAME"," FIELD_DESC",
"AIRPORT_SEQ_ID","An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"AIRPORT_ID","An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"AIRPORT","A three character alpha-numeric code issued by the U.S. Department of Transportation which is the official designation of the airport.  The airport code is not always unique to a specific airport because airport codes can change or can be reused.",
"DISPLAY_AIRPORT_NAME","Airport Name",
"DISPLAY_AIRPORT_CITY_NAME_FULL","Airport City Name with either U.S. State or Country",
"AIRPORT_WAC_SEQ_ID2","Unique Identifier for a World Area Code (WAC) at a given point of time for the Physical Location of the Airport.  See World Area Codes support table.",
"AIRPORT_WAC","World Area Code for the Physical Location of the Airport",
"AIRPORT_COUNTRY_NAME","Country Name for the Physical Location of the Airport",
"AIRPORT_COUNTRY_CODE_ISO","Two-character ISO Country Code for the Physical Location of the Airport",
"AIRPORT_STATE_NAME","State Name for the Physical Location of the Airport ",
"AIRPORT_STATE_CODE","State Abbreviation for the Physical Location of the Airport",
"AIRPORT_STATE_FIPS","FIPS (Federal Information Processing Standard) State Code for the Physical Location of the Airport",
"CITY_MARKET_SEQ_ID","An identification number assigned by US DOT to identify a city market at a given point of time.  City Market attributes may change over time.  For example the country associated with the city market can change over time due to geopolitical changes.",
"CITY_MARKET_ID","An identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
"DISPLAY_CITY_MARKET_NAME_FULL","City Market Name with either U.S. State or Country",
"CITY_MARKET_WAC_SEQ_ID2","Unique Identifier for a World Area Code (WAC) at a given point of time for the City Market.  See World Area Codes support table.",
"CITY_MARKET_WAC","World Area Code for the City Market",
"LAT_DEGREES","Latitude, Degrees",
"LAT_HEMISPHERE","Latitude, Hemisphere",
"LAT_MINUTES","Latitude, Minutes",
"LAT_SECONDS","Latitude, Seconds",
"LATITUDE","Latitude",
"LON_DEGREES","Longitude, Degrees",
"LON_HEMISPHERE","Longitude, Hemisphere",
"LON_MINUTES","Longitude, Minutes",
"LON_SECONDS","Longitude, Seconds",
"LONGITUDE","Longitude",
"UTC_LOCAL_TIME_VARIATION","Time Zone at the Airport",
"AIRPORT_START_DATE","Start Date of Airport Attributes",
"AIRPORT_THRU_DATE","End Date of Airport Attributes (Active = NULL)",
"AIRPORT_IS_CLOSED","Indicates if the airport is closed (1 = Yes).  If yes, the airport is closed is on the AirportEndDate.",
"AIRPORT_IS_LATEST","Indicates if this row contains the latest attributes for the Airport (1 = Yes)",
